ingreso,educacion,experiencia,edad,titulo
1400,12,15,36,1
940,18,10,31,1
866,13,15,37,1
675,12,20,38,1
375,14,9,30,1
1442,17,8,33,1
560,16,13,32,1
550,12,17,36,1
950,16,8,32,1
684,13,16,38,1
1322,16,7,33,1
1634,12,18,38,1
417,12,8,30,0
472,11,9,32,1
666,12,16,34,1
1679,18,10,32,1
1039,16,1,31,0
1250,13,13,30,1
580,10,7,30,0
